Epot;Ekin;Etot
-235.45;107.746;-127.704
-173.108;45.4644;-127.643
-173.232;45.5778;-127.654
-164.386;36.7438;-127.642
-168.832;41.1793;-127.653
-170.841;43.1987;-127.643
-172.549;44.8932;-127.656
-170.418;42.7701;-127.647
-167.991;40.346;-127.645
-174.539;46.8754;-127.664
-165.257;37.6204;-127.637
-169.957;42.2918;-127.665
-166.128;38.4851;-127.643
-168.885;41.248;-127.637
-170.31;42.6696;-127.64
-169.597;41.957;-127.64
-169.241;41.5928;-127.648
-171.118;43.4773;-127.641
-169.057;41.4105;-127.646
-170.091;42.4383;-127.653
-163.633;35.9845;-127.648
-164.575;36.9322;-127.642
-167.385;39.7426;-127.642
-174.225;46.5816;-127.643
-167.644;40.0015;-127.643
-171.982;44.3419;-127.641
-164.244;36.6056;-127.639
-173.855;46.1965;-127.658
-171.254;43.6098;-127.644
-162.939;35.2975;-127.642
-173.565;45.9175;-127.648
-164.685;37.0485;-127.636
-169.212;41.5727;-127.639
-166.012;38.3632;-127.649
-171.274;43.6251;-127.649
-163.59;35.9504;-127.639
-169.021;41.3717;-127.649
-172.541;44.9023;-127.639
-167.842;40.1977;-127.645
-170.631;42.9877;-127.643
-164.568;36.9263;-127.642
-164.382;36.7321;-127.65
-173.339;45.6963;-127.643
-173.526;45.876;-127.65
-165.555;37.9163;-127.638
-169.817;42.1723;-127.645
-164.206;36.5589;-127.647
-159.111;31.4692;-127.642
-170.411;42.7707;-127.64
-163.913;36.2752;-127.638
-164.579;36.9318;-127.647
-167.899;40.251;-127.648
-163.393;35.7529;-127.641
-159.879;32.2384;-127.64
-159.075;31.434;-127.641
-165.068;37.4154;-127.653
-167.198;39.5517;-127.646
-162.594;34.9546;-127.64
-158.789;31.1528;-127.637
-166.843;39.1993;-127.644
-166.879;39.2282;-127.651
-162.369;34.7217;-127.647
-160.258;32.6131;-127.645
-163.399;35.7462;-127.652
-162.154;34.5144;-127.64
-159.078;31.4368;-127.641
-161.284;33.6419;-127.642
-158.3;30.6611;-127.639
-162.683;35.0325;-127.65
-155.784;28.1487;-127.635
-168.223;40.5707;-127.652
-163.131;35.4923;-127.638
-163.246;35.6015;-127.645
-164.536;36.8935;-127.643
-160.655;33.012;-127.642
-162.965;35.3227;-127.642
-162.053;34.408;-127.645
-165.423;37.7819;-127.641
-165.845;38.2012;-127.644
-159.984;32.3427;-127.641
-163.24;35.5885;-127.651
-162.263;34.618;-127.645
-163.728;36.0806;-127.648
-161.521;33.8809;-127.64
-159.113;31.4723;-127.641
-157.476;29.8349;-127.641
-158.645;31.0062;-127.639
-163.196;35.5529;-127.643
-165.211;37.5641;-127.647
-164.522;36.8789;-127.643
-162.549;34.9025;-127.647
-156.857;29.2201;-127.637
-161.27;33.6233;-127.647
-161.323;33.6869;-127.636
-165.437;37.7907;-127.646
-159.171;31.5289;-127.642
-165.364;37.7167;-127.647
-162.389;34.751;-127.638
-157.482;29.8419;-127.64
-166.085;38.443;-127.642